Head,Tail,Score
56,66,18.850360870361328
56,51,18.389328002929688
57,60,25.400087356567383
57,56,20.761489868164062
57,51,19.841581344604492
58,66,21.464099884033203
58,56,19.74676513671875
58,55,16.29181480407715
59,62,13.352652549743652
59,54,12.815896034240723
59,53,12.397802352905273
6,18,18.48221778869629
6,8,16.805736541748047
6,5,14.870903015136719
60,50,19.38799285888672
60,58,17.624500274658203
60,57,17.501358032226562
61,67,22.544231414794922
61,77,21.17382049560547
61,66,20.425918579101562
62,54,16.714920043945312
62,59,16.161890029907227
62,53,15.849292755126953
63,85,21.559417724609375
63,73,21.337575912475586
63,68,19.724599838256836
64,85,21.96766471862793
64,80,20.233802795410156
64,63,19.67901039123535
65,72,20.129514694213867
65,78,18.29715347290039
65,85,17.81221580505371
66,61,21.99404525756836
66,67,20.05727767944336
66,60,19.67605972290039
67,79,21.447917938232422
67,77,18.768278121948242
67,83,17.762617111206055
68,69,21.907949447631836
68,63,20.26795768737793
68,80,16.400197982788086
69,63,24.3620662689209
69,74,23.165395736694336
69,72,21.96078109741211
7,3,16.8195858001709
7,9,13.727337837219238
7,4,11.157879829406738
70,75,22.166454315185547
70,98,20.085987091064453
70,86,17.089765548706055
71,76,16.349960327148438
71,70,16.30254364013672
71,86,15.185800552368164
72,69,21.601762771606445
72,65,19.779144287109375
72,73,19.5198974609375
73,85,21.131580352783203
73,63,19.382341384887695
73,84,17.809019088745117
74,85,24.066299438476562
74,65,22.494596481323242
74,89,20.920175552368164
75,70,24.755630493164062
75,76,20.04045867919922
75,86,19.498083114624023
76,92,22.444862365722656
76,75,18.28046226501465
76,70,17.240388870239258
77,58,21.44523811340332
77,82,19.52397918701172
77,61,19.492267608642578
78,89,24.17314338684082
78,83,22.048259735107422
78,73,19.813854217529297
79,89,22.928939819335938
79,74,22.486949920654297
79,84,21.541988372802734
8,18,21.064563751220703
8,9,17.60059928894043
8,21,16.95509910583496
80,84,22.636186599731445
80,78,19.521093368530273
80,82,16.351898193359375
81,82,18.993450164794922
81,78,18.79001808166504
81,79,18.04362678527832
82,81,23.714574813842773
82,83,19.78852653503418
82,67,18.53950309753418
83,80,21.645082473754883
83,78,12.526409149169922
83,82,11.829570770263672
84,89,29.465757369995117
84,80,24.072092056274414
84,83,20.056581497192383
85,84,26.81036949157715
85,79,19.84337043762207
85,64,18.647008895874023
86,75,20.6513614654541
86,71,18.577713012695312
86,92,18.468109130859375
87,86,16.04054069519043
87,93,15.879728317260742
87,75,14.10405158996582
88,90,19.33744239807129
88,96,17.800729751586914
88,91,15.93741226196289
89,79,25.100200653076172
89,78,22.04810905456543
89,72,19.618732452392578
9,5,16.980318069458008
9,8,15.545012474060059
9,18,13.782357215881348
90,96,21.08392906188965
90,88,18.10078239440918
90,79,17.82027244567871
91,83,18.62065887451172
91,99,18.253520965576172
91,92,17.754993438720703
92,90,18.358610153198242
92,96,16.134294509887695
92,98,12.749391555786133
93,90,22.94991683959961
93,96,22.431201934814453
93,91,16.824966430664062
94,105,22.76581573486328
94,101,22.758665084838867
94,107,21.59334945678711
95,100,18.862932205200195
95,97,15.630756378173828
95,101,13.728704452514648
96,92,16.46727180480957
96,93,16.310623168945312
96,97,15.217362403869629
97,98,18.382266998291016
97,92,17.895185470581055
97,99,15.672431945800781
98,96,19.58864402770996
98,99,19.490062713623047
98,97,18.776540756225586
99,98,18.973487854003906
99,23,13.997618675231934
99,101,13.680413246154785
